Material compositions 1,Material compositions 2,Enorm (eV),E_raw (eV),Site2_MeltingT,Site1_MendeleevNumber,Site1_MiracleRadius,GSestFCClatcnt_max_value,Site2_BCCenergy_pa,Site1_BCCfermi,CovalentRadius_max_value,Site2_Density,n_ws^third_min_value,Site1_HHIr,IonicRadii_max_value,BoilingT_max_value,valence_arithmetic_average,Site2_NdUnfilled,Site1_IonicRadii,BCCenergy_pa_composition_average,MiracleRadius_min_value,MeltingT_min_value,NUnfilled_max_value,Site2_Group,Site1_CovalentRadii,Site2_NUnfilled,SpecificHeatCapacity_difference,Site1_Electronegativity,BCCenergy_pa_arithmetic_average
Ag,Ag,0,1.82445,-0.531814423,0.402504212,0.26304467,-0.626924632,1.021336909,-1.217816005,-0.423908049,0.152291483,-0.193919721,-0.589845856,1.636880876,-1.432543479,-1.676965927,-0.943565335,3.316369481,1.386572578,0.859807591,-0.046109375,-1.546560596,0.626614816,0.690287126,-1.036320247,-1.05789813,0.099470946,1.386572578
Ag,Co,-0.090141676,1.734308324,0.064050614,0.402504212,0.26304467,-0.626924632,-0.248457198,-1.217816005,-0.423908049,-0.142515482,-0.193919721,-0.589845856,1.636880876,-0.749243607,-1.247729981,-0.009160828,3.316369481,0.484851202,-0.730180111,-0.046109375,-0.801582174,0.11631772,0.690287126,-0.391287965,-0.38861006,0.099470946,0.484851202
Ag,Cr,0.259138544,2.083588544,0.524583744,0.402504212,0.26304467,-0.626924632,-1.000991245,-1.217816005,-0.423908049,-0.468842689,-0.193919721,-0.589845856,1.636880876,-0.977903433,0.039977858,0.613775509,3.316369481,-0.049547274,-0.311762294,-0.046109375,0.315885458,-0.649127923,0.690287126,0.576260458,-0.287857017,0.099470946,-0.049547274
Ag,Cu,-0.022200405,1.802249595,-0.394504011,0.402504212,0.26304467,-0.626924632,0.746249178,-1.217816005,-0.423908049,-0.138807219,-0.193919721,-0.589845856,1.636880876,-0.749243607,-1.676965927,-0.943565335,3.316369481,1.191223989,-0.646496547,-0.046109375,-1.546560596,0.626614816,0.690287126,-1.036320247,-0.518149686,0.099470946,1.191223989
Ag,Fe,0.317672341,2.142122341,0.112115965,0.402504212,0.26304467,-0.626924632,-0.637552182,-1.217816005,-0.423908049,-0.332749411,-0.193919721,-0.589845856,1.636880876,-0.808194969,0.039977858,0.30230734,3.316369481,0.208542419,-0.730180111,-0.046109375,-0.429092963,-0.138830827,0.690287126,-0.068771824,-0.287857017,0.099470946,0.208542419
Ag,Mn,0.202185741,2.026635741,-0.214281301,0.402504212,0.26304467,-0.626924632,-0.811898983,-1.217816005,-0.423908049,-0.407656338,-0.193919721,-0.589845856,1.636880876,-1.432543479,0.469213804,0.613775509,3.316369481,0.084733184,-0.144395168,-0.046109375,-0.056603753,-0.393979375,0.690287126,0.253744317,-0.176309005,0.099470946,0.084733184
Ag,Ni,0.250571478,2.075021478,0.01933866,0.402504212,0.26304467,-0.626924632,0.210847207,-1.217816005,-0.423908049,-0.141032177,-0.193919721,-0.589845856,1.636880876,-0.761748441,-1.247729981,-0.320628997,3.316369481,0.811017938,-0.646496547,-0.046109375,-1.174071385,0.371466268,0.690287126,-0.713804106,-0.305848632,0.099470946,0.811017938
Ag,Sc,-0.001431337,1.823018663,0.115469362,0.402504212,0.26304467,0.294636562,-0.007621061,-1.217816005,0.961501146,-1.239234477,-0.580705823,-0.589845856,1.636880876,-0.835884244,-1.247729981,1.859648185,3.316369481,0.65587664,0.859807591,-0.046109375,1.43335309,-1.414573566,0.690287126,1.543808881,0.140343415,0.099470946,0.65587664
Ag,Ti,0.164968058,1.989418058,0.257429817,0.402504212,0.26304467,-0.564886718,-0.451494405,-1.217816005,0.407337468,-0.957035608,-0.193919721,-0.589845856,1.636880876,-0.427690726,-0.818494035,1.548180016,3.316369481,0.340667993,0.692440464,-0.046109375,1.06086388,-1.159425018,0.690287126,1.22129274,-0.021581118,0.099470946,0.340667993
Ag,V,0.248163228,2.072613228,0.52793714,0.402504212,0.26304467,-0.626924632,-0.832420822,-1.217816005,0.019422894,-0.659818271,-0.193919721,-0.589845856,1.636880876,-0.320506433,-0.389258088,1.236711847,3.316369481,0.070159971,0.022971959,-0.046109375,0.688374669,-0.90427647,0.690287126,0.898776599,-0.143924099,0.099470946,0.070159971
Ag,Zn,-0.146976233,1.677473767,-1.137940854,0.402504212,0.26304467,-0.626924632,1.487180929,-1.217816005,-0.423908049,-0.468842689,-0.365824655,-0.589845856,1.636880876,-1.432543479,-1.676965927,-0.943565335,3.316369481,1.717383304,0.525073338,-0.949478024,-1.546560596,0.881763363,0.690287126,-1.358836389,-0.507354717,0.099470946,1.717383304
Al,Al,0,1.266101032,-0.868786067,1.16944744,0.052195504,-0.600965792,0.744073339,0.93940978,-1.753900876,-1.292077235,-0.06499102,-0.728513162,-1.251773399,-1.113670205,-0.818494035,-0.943565335,-0.959536007,0.992785134,0.608756901,-0.548330699,-0.056603753,1.136911911,-0.830021362,0.253744317,-1.05789813,-0.773893324,0.992785134
