Field_Defect_Size,Lab_Defect_Size,Batch,Lag1
18,20.2,1,38
38,56,1,15
15,12.5,1,20
20,21.2,1,18
18,15.5,1,36
36,39,1,20
20,21,1,43
43,38.2,1,45
45,55.6,1,65
65,81.9,1,43
43,39.5,1,38
38,56.4,1,33
33,40.5,1,10
10,14.3,1,50
50,81.5,1,10
10,13.7,1,50
50,81.5,1,15
15,20.5,1,53
53,56,1,60
60,80.7,2,18
18,20,2,38
38,56.5,2,15
15,12.1,2,20
20,19.6,2,18
18,15.5,2,36
36,38.8,2,20
20,19.5,2,43
43,38,2,45
45,55,2,65
65,80,2,43
43,38.5,2,38
38,55.8,2,33
33,38.8,2,10
10,12.5,2,50
50,80.4,2,10
10,12.7,2,50
50,80.9,2,15
15,20.5,2,53
53,55,2,15
15,19,3,37
37,55.5,3,15
15,12.3,3,18
18,18.4,3,11
11,11.5,3,35
35,38,3,20
20,18.5,3,40
40,38,3,50
50,55.3,3,36
36,38.7,3,50
50,54.5,3,38
38,38,3,10
10,12,3,75
75,81.7,3,10
10,11.5,3,85
85,80,3,13
13,18.3,3,50
50,55.3,3,58
58,80.2,3,58
58,80.7,3,48
48,55.8,4,12
12,15,4,63
63,81,4,10
10,12,4,63
63,81.4,4,13
13,12.5,4,28
28,38.2,4,35
35,54.2,4,63
63,79.3,4,13
13,18.2,4,45
45,55.5,4,9
9,11.4,4,20
20,19.5,4,18
18,15.5,4,35
35,37.5,4,20
20,19.5,4,38
38,37.5,4,50
50,55.5,4,70
70,80,4,40
40,37.5,4,21
21,15.5,5,19
19,23.7,5,10
10,9.8,5,33
33,40.8,5,16
16,17.5,5,5
5,4.3,5,32
32,36.5,5,23
23,26.3,5,30
30,30.4,5,45
45,50.2,5,33
33,30.1,5,25
25,25.5,5,12
12,13.8,5,53
53,58.9,5,36
36,40,5,5
5,6,5,63
63,72.5,5,43
43,38.8,5,25
25,19.4,5,73
73,81.5,5,45
45,77.4,5,52
52,54.6,6,9
9,6.8,6,30
30,32.6,6,22
22,19.8,6,56
56,58.8,6,15
15,12.9,6,45
45,49,6,
