name,sports_car,suv,wagon,minivan,pickup,all_wheel,rear_wheel,msrp,dealer_cost,eng_size,ncyl,ncylA,horsepwr,city_mpg,hwy_mpg,weight,wheel_base,length,width,weight1K
BMW X5 4.4i,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,52195,47720,4.4,eight,morefour,325,16,22,4824,111,184,74,4.824
Cadillac Escaladet,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,52795,48377,5.3,eight,morefour,295,14,18,5367,116,199,79,5.367
Cadillac SRX V8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,46995,43523,4.6,eight,morefour,320,16,21,4302,116,195,73,4.302
Chevrolet Suburban 1500 LT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42735,37422,5.3,eight,morefour,295,14,18,4947,130,219,79,4.947
Chevrolet Tahoe LT,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,41465,36287,5.3,eight,morefour,295,14,18,5050,116,197,79,5.05
CMC Yukon 1500 SLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,35725,31361,4.8,eight,morefour,285,16,19,5042,116,199,79,5.042
Dodge Durango SLT,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,32235,29472,4.7,eight,morefour,230,15,21,4987,119,201,76,4.987
Ford Excursion 6.8 XLT,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,41475,36494,6.8,eight,morefour,310,NA,NA,7190,137,227,80,7.19
GMC Yukon XL 2500 SLT,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,46265,40534,6,eight,morefour,325,13,17,6133,130,219,79,6.133
Hummer H2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,49995,45815,6,eight,morefour,316,10,12,6400,123,190,81,6.4
Land Rover Discovery SE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,39250,35777,4.6,eight,morefour,217,12,16,4576,100,185,74,4.576
Land Rover Range Rover HSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,72250,65807,4.4,eight,morefour,282,12,16,5379,113,195,76,5.379
Lexus GX 470,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,45700,39838,4.7,eight,morefour,235,15,19,4740,110,188,74,4.74
Lexus LX 470,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,64800,56455,4.7,eight,morefour,235,13,17,5590,112,193,76,5.59
Lincoln Aviator Ultimate,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,42915,39443,4.6,eight,morefour,302,13,18,4834,114,193,76,4.834
Lincoln Navigator Luxury,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,52775,46360,5.4,eight,morefour,300,13,18,5969,119,206,80,5.969
Mercedes-Benz G500,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,76870,71540,5,eight,morefour,292,13,14,5423,112,186,71,5.423
Mercedes-Benz ML500,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,46470,43268,5,eight,morefour,288,14,17,4874,111,183,72,4.874
Nissan Pathfinder Armada SE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,33840,30815,5.6,eight,morefour,305,13,19,5013,123,207,79,5.013
Porsche Cayenne S,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,56665,49865,4.5,eight,morefour,340,14,18,4950,112,188,76,4.95
Toyota Land Cruiser,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,54765,47986,4.7,eight,morefour,325,13,17,5390,112,193,76,5.39
Toyota Sequoia SR5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,35695,31827,4.7,eight,morefour,240,14,17,5270,118,204,78,5.27
Honda CR-V LX,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,19860,18419,2.4,four,four,160,21,25,3258,103,179,70,3.258
Honda Element LX,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,18690,17334,2.4,four,four,160,21,24,3468,101,167,72,3.468
Jeep Liberty Sport,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,20130,18973,2.4,four,four,150,20,24,3826,104,174,72,3.826
Mazda Tribute DX 2.0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,21087,19742,2,four,four,130,22,25,3091,103,173,72,3.091
Mitsubishi Outlander LS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18892,17569,2.4,four,four,160,21,27,3240,103,179,69,3.24
Saturn VUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,20585,19238,2.2,four,four,143,21,26,3381,107,181,72,3.381
Toyota RAV4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,20290,18553,2.4,four,four,161,22,27,3119,98,167,68,3.119
Acura MDX,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,36945,33337,3.5,six,morefour,265,17,23,4451,106,189,77,4.451
